         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            32895121              61        28.99        32.57         1768.39         1986.77
            59333352              73        25.88        29.43         1889.24         2148.39
            72216160               2        10.67        14.72           21.34           29.44
            30174319              22        29.51        33.43          649.22          735.46
            62283911               7        15.50        21.11          108.50          147.77
            76502369               7        12.35        16.47           86.45          115.29
            81912584              99        26.86        31.94         2659.14         3162.06
            56886748              18        24.94        30.92          448.92          556.56
            41555059              44        27.38        32.97         1204.72         1450.68
            63798705              29        25.13        30.85          728.77          894.65
            42578554              20        17.59        21.44          351.80          428.80
            50019335              63        18.86        23.04         1188.18         1451.52
            79195238              21        11.38        15.86          238.98          333.06
            36990628              49        28.67        33.09         1404.83         1621.41
            74375297              31        12.28        18.21          380.68          564.51
            79490708              84        10.37        15.25          871.08         1281.00
            61965647              88        24.88        29.03         2189.44         2554.64
            66955027              45        26.73        30.99         1202.85         1394.55
            77086936              79        19.91        25.81         1572.89         2038.99
            69730813              84        12.39        17.64         1040.76         1481.76
            63173268               9        15.25        18.46          137.25          166.14
            71852096              57        26.92        30.71         1534.44         1750.47
            60410146              21        26.93        32.34          565.53          679.14
            88550476              20        21.62        24.86          432.40          497.20
            44481271              78        27.03        32.21         2108.34         2512.38
            58759637              78        15.20        18.21         1185.60         1420.38
            37413158              28        28.57        33.34          799.96          933.52
            29257517              83        10.76        13.93          893.08         1156.19
            58485457               5        23.64        28.18          118.20          140.90
            77086674              85        18.06        23.88         1535.10         2029.80
            32728517              82        15.43        19.58         1265.26         1605.56
            53717044              66        16.04        20.59         1058.64         1358.94
            70178351               1        19.18        24.56           19.18           24.56
            31641263              48        20.95        26.17         1005.60         1256.16
            85598406              64        10.32        14.12          660.48          903.68
            62111634               1        16.41        19.97           16.41           19.97
            40299841              50        28.50        31.89         1425.00         1594.50
            34092153               3        23.76        29.20           71.28           87.60
            86012790               1        11.18        15.75           11.18           15.75
            43436020              40        25.86        30.99         1034.40         1239.60
            77430412              70        29.20        34.45         2044.00         2411.50
            35537534              60        27.18        32.16         1630.80         1929.60
            21094940              53        12.59        17.31          667.27          917.43
            43051474              81        20.39        25.20         1651.59         2041.20
            75529079              28        29.27        33.08          819.56          926.24
            49263193              93        29.39        34.89         2733.27         3244.77
            43548519              44        13.50        16.95          594.00          745.80
            73833666              69        21.75        26.11         1500.75         1801.59
            66992188              85        29.40        33.97         2499.00         2887.45
            22442765              20        14.24        18.39          284.80          367.80
            23026496              35        20.95        24.90          733.25          871.50
            66028170              21        17.59        23.57          369.39          494.97
            85598406              64        10.32        14.12          660.48          903.68
            75724437              74        23.26        26.87         1721.24         1988.38
            70401508              98        28.82        34.04         2824.36         3335.92
            74877073              90        19.64        22.65         1767.60         2038.50
            66314342              42        21.79        27.58          915.18         1158.36
            53717044              66        16.04        20.59         1058.64         1358.94
            22307784              99        14.22        19.97         1407.78         1977.03
            41818150              51        13.22        18.99          674.22          968.49
            63758855              39        11.25        14.70          438.75          573.30
            22231544              65        23.11        28.16         1502.15         1830.40
            41721415              31        12.02        17.97          372.62          557.07
            79900665              22        21.35        24.99          469.70          549.78
            32216703              97        23.12        28.83         2242.64         2796.51
            70178351               1        19.18        24.56           19.18           24.56
            77465093              70        16.94        22.83         1185.80         1598.10
            26383509              27        22.91        27.15          618.57          733.05
            54221156              93        13.04        18.12         1212.72         1685.16
            32728517              82        15.43        19.58         1265.26         1605.56
            83762728              45        22.25        25.31         1001.25         1138.95
            29691501              57        22.78        28.28         1298.46         1611.96
            25725760              15        26.82        32.17          402.30          482.55
            75268158              29        13.03        18.84          377.87          546.36
            81982758              56        10.68        14.84          598.08          831.04
            83234292              26        23.80        29.24          618.80          760.24
            34171236              19        24.01        29.29          456.19          556.51
            84623811               2        15.66        20.90           31.32           41.80
            84666631              32        28.79        34.75          921.28         1112.00
            73831091              86        25.67        30.20         2207.62         2597.20
            45136408               2        12.71        15.71           25.42           31.42
            67317709              16        10.27        15.03          164.32          240.48
            35342162              75        29.91        34.65         2243.25         2598.75
            34307586              41        18.20        24.14          746.20          989.74
            59189425              89        22.54        27.43         2006.06         2441.27
            44560715              50        13.19        17.67          659.50          883.50
            86578282              36        29.59        33.51         1065.24         1206.36
            24467721               3        15.72        21.71           47.16           65.13
            57739204               1        23.02        27.52           23.02           27.52
            34763532              86        15.68        21.17         1348.48         1820.62
            62159876              47        12.63        17.34          593.61          814.98
            81252880              16        14.36        18.04          229.76          288.64
            32913509              42        11.94        16.43          501.48          690.06
            70937179              64        12.78        17.75          817.92         1136.00
            64349453              14        18.46        23.84          258.44          333.76
            71529535              21        27.36        31.04          574.56          651.84
            75799058              31        25.89        30.75          802.59          953.25
            80858072              98        13.32        16.89         1305.36         1655.22
            34389249              83        17.68        22.58         1467.44         1874.14
            66910032              10        12.87        17.11          128.70          171.10
            83391843              30        20.31        23.67          609.30          710.10
            44603982              11        14.04        18.87          154.44          207.57
            60360685              42        28.86        33.14         1212.12         1391.88
            88301639              13        23.37        27.32          303.81          355.16
            37761798              48        13.31        17.97          638.88          862.56
            46132369              64        28.23        32.34         1806.72         2069.76
            79170842              16        29.59        34.75          473.44          556.00
            72660734              37        22.74        27.19          841.38         1006.03
            57630177              38        26.52        29.81         1007.76         1132.78
            43771833              50        18.24        21.52          912.00         1076.00
            35304393              38        29.75        33.66         1130.50         1279.08
            59734200              12        25.75        31.22          309.00          374.64
            49493175              39        14.55        19.03          567.45          742.17
            19103941              66        25.55        28.79         1686.30         1900.14
            66028170              21        17.59        23.57          369.39          494.97
            37511487              37        25.77        30.34          953.49         1122.58
            68740451               3        10.94        16.14           32.82           48.42
            83480974              83        23.94        29.53         1987.02         2450.99
            88491828              34        29.57        34.24         1005.38         1164.16
            37055841              87        19.81        24.45         1723.47         2127.15
            64002588              59        20.18        24.44         1190.62         1441.96
            75529079              28        29.27        33.08          819.56          926.24
            88304184              84        18.55        23.14         1558.20         1943.76
            69384947              99        12.41        16.75         1228.59         1658.25
            74497902              82        20.00        23.21         1640.00         1903.22
            34549045               7        13.67        16.67           95.69          116.69
            56030075              46        18.62        22.81          856.52         1049.26
            56044625              77        26.84        30.00         2066.68         2310.00
            41818150              51        13.22        18.99          674.22          968.49
            76076746              64        15.72        19.29         1006.08         1234.56
            17461679              54        10.76        16.74          581.04          903.96
            85699860              21        20.28        23.37          425.88          490.77
            50040763              32        14.71        20.02          470.72          640.64
            47533952              96        11.85        15.79         1137.60         1515.84
            76147512              40        24.26        27.40          970.40         1096.00
            39941194              44        19.12        23.33          841.28         1026.52
            77435552              39        12.08        17.33          471.12          675.87
            41610696               9        14.03        17.30          126.27          155.70
            53741016              54        23.69        27.10         1279.26         1463.40
            46288741              98        26.86        32.62         2632.28         3196.76
            80203561               4        28.03        32.89          112.12          131.56
            56953445              35        21.16        25.85          740.60          904.75
            68324629               6        24.98        30.61          149.88          183.66
            60123854              80        22.90        26.34         1832.00         2107.20
            72874936               5        18.34        22.96           91.70          114.80
            16768461              35        10.07        15.28          352.45          534.80
            49013255              89        18.32        24.27         1630.48         2160.03
            53016903              16        11.19        15.79          179.04          252.64
            77430412              70        29.20        34.45         2044.00         2411.50
            40095023              62        18.63        24.31         1155.06         1507.22
            59802180              33        13.26        17.79          437.58          587.07
            84777768              66        11.40        14.53          752.40          958.98
            14578137              41        16.99        21.27          696.59          872.07
            23132529              24        24.77        28.34          594.48          680.16
            37195393              94        25.99        29.97         2443.06         2817.18
            22662424               1        11.84        15.28           11.84           15.28
            31187804              66        20.23        25.46         1335.18         1680.36
            18870895              77        22.80        26.50         1755.60         2040.50
            72771191               3        17.78        23.31           53.34           69.93
            15555649              71        18.67        22.08         1325.57         1567.68
            75647204              28        19.39        24.87          542.92          696.36
            44137228              61        23.26        27.46         1418.86         1675.06
            58045576              64        10.51        16.20          672.64         1036.80
            12880478              18        24.61        30.20          442.98          543.60
            36020570              22        15.27        19.78          335.94          435.16
            55263273              42        18.62        22.22          782.04          933.24
            39341800              25        24.32        29.58          608.00          739.50
            81106814               9        12.55        17.38          112.95          156.42
            52614745              37        22.62        28.25          836.94         1045.25
            19784361               6        18.19        21.20          109.14          127.20
            54979164              83        21.06        25.15         1747.98         2087.45
            86767861              93        16.94        22.43         1575.42         2085.99
            14379934              45        29.70        33.17         1336.50         1492.65
            22142782              41        17.65        21.80          723.65          893.80
            36473623              16        15.21        19.89          243.36          318.24
            14366464              32        10.12        15.81          323.84          505.92
            67167784               7        20.82        24.08          145.74          168.56
            70692724               6        19.41        22.88          116.46          137.28
            77643941              27        13.18        16.62          355.86          448.74
            44544249               3        26.55        30.19           79.65           90.57
            60027243              72        19.48        24.93         1402.56         1794.96
            43051474              81        20.39        25.20         1651.59         2041.20
            80924508              94        23.82        28.14         2239.08         2645.16
            42884653              91        15.56        19.32         1415.96         1758.12
            50134836               8        27.71        31.48          221.68          251.84
            32895121              61        28.99        32.57         1768.39         1986.77
            74435780              64        24.09        29.58         1541.76         1893.12
            27972823              12        28.73        32.17          344.76          386.04
            36511952              85        13.32        17.87         1132.20         1518.95
            48635725              21        18.82        23.72          395.22          498.12
            11458375             100        18.51        21.68         1851.00         2168.00
            43715790              31        27.98        31.68          867.38          982.08
            37303335              98        14.00        19.04         1372.00         1865.92
            31641263              48        20.95        26.17         1005.60         1256.16
            85466608              62        12.70        16.12          787.40          999.44
            27270146              81        23.52        27.65         1905.12         2239.65
            24388225              28        17.90        22.64          501.20          633.92
            38561693              47        18.00        22.00          846.00         1034.00
            35390230              73        26.80        31.99         1956.40         2335.27
            41555059              44        27.38        32.97         1204.72         1450.68
            31353041              28        21.82        27.67          610.96          774.76
            14375908              58        15.24        19.87          883.92         1152.46
            37413158              28        28.57        33.34          799.96          933.52
            39898842               8        20.69        25.42          165.52          203.36
            28458648              97        19.67        22.73         1907.99         2204.81
            78206035              11        25.00        30.19          275.00          332.09
            26782989              32        17.16        20.93          549.12          669.76
            31917171              58        23.27        27.29         1349.66         1582.82
            12949685               6        26.89        30.96          161.34          185.76
            42978025              89        27.65        33.36         2460.85         2969.04
            65014865              54        28.95        34.28         1563.30         1851.12
            47578754              90        26.20        30.44         2358.00         2739.60
            59189425              89        22.54        27.43         2006.06         2441.27
            55396347              65        12.49        18.04          811.85         1172.60
            26923610              35        21.70        25.06          759.50          877.10
            74543762              61        12.57        16.86          766.77         1028.46
            78907535              46        22.91        27.32         1053.86         1256.72
            11303142              47        10.56        16.35          496.32          768.45
            71733835              17        22.36        25.67          380.12          436.39
            80101956              97        23.40        28.25         2269.80         2740.25
            49336268              99        15.02        18.51         1486.98         1832.49
            43891580              46        11.44        16.13          526.24          741.98
            34763532              86        15.68        21.17         1348.48         1820.62
            51080942              56        23.57        29.09         1319.92         1629.04
            33483040              55        24.25        28.48         1333.75         1566.40
            87209284              91        27.20        31.42         2475.20         2859.22
            35262107               8        14.46        19.91          115.68          159.28
            60410146              21        26.93        32.34          565.53          679.14
            28062267              47        14.68        18.06          689.96          848.82
            49559225              94        21.63        27.14         2033.22         2551.16
            34189844              93        16.77        20.93         1559.61         1946.49
            17327188              41        23.79        28.18          975.39         1155.38
            88189478              86        15.24        19.55         1310.64         1681.30
            75541722              78        22.80        25.97         1778.40         2025.66
            29884085              52        26.47        30.46         1376.44         1583.92
            22877827               6        16.46        21.19           98.76          127.14
            63689991              40        26.49        31.87         1059.60         1274.80
            58759637              78        15.20        18.21         1185.60         1420.38
            38917581              77        26.47        31.07         2038.19         2392.39
            49996948              32        21.50        26.64          688.00          852.48
            86414890              27        10.02        14.42          270.54          389.34
            58485457               5        23.64        28.18          118.20          140.90
            20766559              15        17.28        21.88          259.20          328.20
            21390393              99        10.14        14.09         1003.86         1394.91
            31665020              26        15.76        18.78          409.76          488.28
            52700852              67        28.70        31.79         1922.90         2129.93
            62839762              93        14.75        20.19         1371.75         1877.67
            38072280              17        22.95        28.65          390.15          487.05
            28342656               2        26.18        30.82           52.36           61.64
            30739126              14        27.83        33.29          389.62          466.06
            88452976              45        13.45        17.83          605.25          802.35
            13045439              80        20.24        24.00         1619.20         1920.00
            27176633              51        12.76        16.22          650.76          827.22
